
06-09 08:39:27.956 W/ningofflinesync(22438): ClassLoaderContext classpath size mismatch. expected=1, found=0 (DLC[];PCL[base.apk*1981305934]{PCL[/system/framework/org.apache.http.legacy.jar*2001478317]#PCL[/system/framework/com.android.location.provider.jar*1570284764]#PCL[/system/framework/com.android.media.remotedisplay.jar*487574312]#PCL[/system_ext/framework/com.android.extensions.appfunctions.jar*2880224042]#PCL[/system_ext/framework/androidx.window.extensions.jar*3210150721]#PCL[/system_ext/framework/androidx.window.sidecar.jar*3925677193]} | DLC[];PCL[])
06-09 08:39:27.978 W/ningofflinesync(22438): ClassLoaderContext classpath element checksum mismatch. expected=1981305934, found=1732750613 (DLC[];PCL[base.apk*1981305934]{PCL[/system/framework/org.apache.http.legacy.jar*2001478317]#PCL[/system/framework/com.android.location.provider.jar*1570284764]#PCL[/system/framework/com.android.media.remotedisplay.jar*487574312]#PCL[/system_ext/framework/com.android.extensions.appfunctions.jar*2880224042]#PCL[/system_ext/framework/androidx.window.extensions.jar*3210150721]#PCL[/system_ext/framework/androidx.window.sidecar.jar*3925677193]} | DLC[];PCL[/data/app/~~tGiYdhxqL1OEe6wuGZolkw==/com.expeditioncommand.planningofflinesync-CN1rLyWlOBjXpFbmwNHnSw==/base.apk*1732750613])
06-09 08:39:28.483 W/Mapbox  (22438): [common\GoogleDeviceLocationProvider]: Skipped start state change: current state is STARTED
06-09 08:39:39.609 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{29b856c V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:39.665 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{19da8b3 V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:39.681 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{141219c V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:39.692 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{2bf7921 V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:39.703 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{81cbbd2 V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:39.714 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{66867ff V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:39.724 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{e2a16b8 V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:39.758 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{af14eef V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:40.216 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{a334200 V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:40.229 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{87150f5 V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
06-09 08:39:40.238 I/WindowManager(22438): WindowManagerGlobal#addView, ty=1000, view=android.widget.PopupWindow$PopupDecorView{84c956 V.E...... R.....I. 0,0-0,0}, caller=android.view.WindowManagerImpl.addView:158 android.widget.PopupWindow.invokePopup:1692 android.widget.PopupWindow.showAtLocation:1418 
